date,company,likecount,retweetcount
2021-11-12,Pfizer,25,5
2021-11-11,Pfizer,36,4
2021-11-11,Pfizer,85,24
2021-11-11,Pfizer,32,5
2021-11-11,Pfizer,23,3
2021-11-10,Pfizer,36,5
2021-11-09,Pfizer,4670,1700
2021-11-09,Pfizer,68,19
2021-11-09,Pfizer,152,54
2021-11-09,Pfizer,92,16
2021-11-09,Pfizer,48,9
2021-11-05,Pfizer,49,5
2021-11-05,Pfizer,124,24
2021-11-05,Pfizer,519,297
2021-11-04,Pfizer,28,3
2021-11-04,Pfizer,40,7
2021-11-03,Pfizer,18,2
2021-11-02,Pfizer,40,10
2021-11-01,Pfizer,26,3
2021-11-01,Pfizer,36,4
2021-11-01,Pfizer,46,9
2021-11-01,Pfizer,41,1
2021-11-01,Pfizer,112,40
2021-10-30,Pfizer,359,83
2021-10-30,Pfizer,29,6
2021-10-30,Pfizer,52,14
2021-10-29,Pfizer,30,12
2021-10-29,Pfizer,22,7
2021-10-29,Pfizer,11,6
2021-10-29,Pfizer,169,61
2021-10-29,Pfizer,32,3
2021-10-29,Pfizer,17,3
2021-10-29,Pfizer,14,2
2021-10-29,Pfizer,23,4
2021-10-28,Pfizer,54,19
2021-10-28,Pfizer,22,4
2021-10-28,Pfizer,21,11
2021-10-28,Pfizer,25,7
2021-10-28,Pfizer,104,23
2021-10-26,Pfizer,31,7
2021-10-26,Pfizer,38,8
2021-10-26,Pfizer,193,55
2021-10-26,Pfizer,29,5
2021-10-26,Pfizer,35,8
2021-10-26,Pfizer,34,3
2021-10-25,Pfizer,35,6
2021-10-25,Pfizer,27,8
2021-10-22,Pfizer,24,3
2021-10-22,Pfizer,92,8
2021-10-22,Pfizer,25,4
2021-10-22,Pfizer,28,8
2021-10-21,Pfizer,38,14
2021-10-21,Pfizer,38,12
2021-10-20,Pfizer,37,12
2021-10-19,Pfizer,31,4
2021-10-18,Pfizer,40,8
2021-10-18,Pfizer,42,9
2021-10-15,Pfizer,23,7
2021-10-14,Pfizer,71,10
2021-10-14,Pfizer,38,5
2021-10-13,Pfizer,49,5
2021-10-12,Pfizer,78,20
2021-10-12,Pfizer,40,12
2021-10-11,Pfizer,153,31
2021-10-11,Pfizer,73,10
2021-10-11,Pfizer,35,8
2021-10-11,Pfizer,51,5
2021-10-10,Pfizer,51,16
2021-10-07,Pfizer,115,50
2021-10-07,Pfizer,52,14
2021-10-07,Pfizer,112,40
2021-10-07,Pfizer,128,28
2021-10-07,Pfizer,159,46
2021-10-07,Pfizer,3609,1366
2021-10-06,Pfizer,54,13
2021-10-05,Pfizer,15,1
2021-10-05,Pfizer,136,30
2021-10-04,Pfizer,54,10
2021-10-04,Pfizer,144,60
2021-10-04,Pfizer,33,7
2021-10-04,Pfizer,37,11
2021-10-01,Pfizer,150,53
2021-09-29,Pfizer,20,4
2021-09-29,Pfizer,206,49
2021-09-29,Pfizer,19,7
2021-09-29,Pfizer,35,8
2021-09-29,Pfizer,30,8
2021-09-28,Pfizer,73,25
2021-09-28,Pfizer,75,36
2021-09-28,Pfizer,28,3
2021-09-28,Pfizer,27,8
2021-09-27,Pfizer,171,62
2021-09-27,Pfizer,26,7
2021-09-27,Pfizer,88,21
2021-09-27,Pfizer,49,14
2021-09-27,Pfizer,54,16
2021-09-27,Pfizer,139,57
2021-09-27,Pfizer,38,7
2021-09-24,Pfizer,30,7
2021-09-24,Pfizer,26,6
2021-09-24,Pfizer,31,5
2021-09-24,Pfizer,26,7
2021-09-23,Pfizer,24,10
2021-09-23,Pfizer,31,18
2021-09-23,Pfizer,21,6
2021-09-22,Pfizer,32,3
2021-09-22,Pfizer,24,8
2021-09-22,Pfizer,36,4
2021-09-21,Pfizer,38,10
2021-09-21,Pfizer,98,40
2021-09-21,Pfizer,28,11
2021-09-20,Pfizer,29,10
2021-09-20,Pfizer,26,1
2021-09-20,Pfizer,33,4
2021-09-20,Pfizer,129,25
2021-09-20,Pfizer,135,37
2021-09-20,Pfizer,67,28
2021-09-20,Pfizer,865,419
2021-09-18,Pfizer,51,19
2021-09-17,Pfizer,132,33
2021-09-16,Pfizer,29,6
2021-09-15,Pfizer,28,7
2021-09-15,Pfizer,36,3
2021-09-15,Pfizer,54,16
2021-09-14,Pfizer,20,4
2021-09-14,Pfizer,27,8
2021-09-14,Pfizer,20,2
2021-09-14,Pfizer,17,2
2021-09-14,Pfizer,14,4
2021-09-14,Pfizer,48,11
2021-09-14,Pfizer,22,1
2021-09-13,Pfizer,22,3
2021-09-13,Pfizer,16,2
2021-09-12,Pfizer,1,0
2021-09-12,Pfizer,0,0
2021-09-12,Pfizer,0,0
2021-09-10,Pfizer,247,61
2021-09-09,Pfizer,73,15
2021-09-09,Pfizer,29,5
2021-09-09,Pfizer,40,16
2021-09-09,Pfizer,36,7
2021-09-09,Pfizer,28,8
2021-09-09,Pfizer,55,15
2021-09-08,Pfizer,22,6
2021-09-07,Pfizer,38,7
2021-09-07,Pfizer,56,5
2021-09-07,Pfizer,32,9
2021-09-03,Pfizer,226,76
2021-09-03,Pfizer,42,11
2021-09-02,Pfizer,283,81
2021-09-02,Pfizer,95,34
2021-09-01,Pfizer,43,8
2021-09-01,Pfizer,21,3
2021-08-27,Pfizer,40,9
2021-08-25,Pfizer,52,16
2021-08-25,Pfizer,193,65
2021-08-25,Pfizer,23,4
2021-08-24,Pfizer,57,21
2021-08-23,Pfizer,61,20
2021-08-23,Pfizer,73,13
2021-08-23,Pfizer,118,33
2021-08-23,Pfizer,69,21
2021-08-23,Pfizer,800,326
2021-08-19,Pfizer,50,6
2021-08-13,Pfizer,43,9
2021-08-12,Pfizer,62,13
2021-08-12,Pfizer,30,10
2021-08-12,Pfizer,37,12
2021-08-10,Pfizer,75,16
2021-08-09,Pfizer,48,11
2021-08-06,Pfizer,45,17
2021-08-03,Pfizer,71,17
2021-08-03,Pfizer,1193,180
2021-08-02,Pfizer,28,4
2021-08-02,Pfizer,48,8
2021-07-31,Pfizer,60,9
2021-07-30,Pfizer,84,17
2021-07-29,Pfizer,47,4
2021-07-29,Pfizer,28,0
2021-07-29,Pfizer,22,3
2021-07-29,Pfizer,41,9
2021-07-29,Pfizer,17,2
2021-07-28,Pfizer,280,132
2021-07-28,Pfizer,506,289
2021-07-28,Pfizer,1506,1055
2021-07-28,Pfizer,50,10
2021-07-28,Pfizer,18,2
2021-07-28,Pfizer,46,6
2021-07-28,Pfizer,36,6
2021-07-27,Pfizer,181,55
2021-07-27,Pfizer,40,6
2021-07-26,Pfizer,21,4
2021-07-23,Pfizer,226,50
2021-07-22,Pfizer,34,11
2021-07-19,Pfizer,53,6
2021-07-19,Pfizer,52,15
2021-07-17,Pfizer,66,13
2021-07-15,Pfizer,48,6
2021-07-15,Pfizer,40,6
2021-07-15,Pfizer,41,6
2021-07-14,Pfizer,51,12
2021-07-13,Pfizer,69,11
2021-07-13,Pfizer,38,3
2021-07-13,Pfizer,64,10
2021-07-13,Pfizer,4,0
2021-07-12,Pfizer,131,40
2021-07-09,Pfizer,815,838
2021-07-09,Pfizer,481,981
2021-07-09,Pfizer,75,50
2021-07-09,Pfizer,57,40
2021-07-09,Pfizer,445,285
2021-07-07,Pfizer,38,12
2021-07-06,Pfizer,67,23
2021-07-06,Pfizer,87,21
2021-07-05,Pfizer,175,29
2021-07-04,Pfizer,124,22
2021-07-01,Pfizer,96,29
2021-06-30,Pfizer,34,3
2021-06-29,Pfizer,39,4
2021-06-29,Pfizer,40,10
2021-06-28,Pfizer,29,6
2021-06-28,Pfizer,23,5
2021-06-28,Pfizer,41,7
2021-06-28,Pfizer,73,14
2021-06-25,Pfizer,37,4
2021-06-24,Pfizer,33,2
2021-06-24,Pfizer,29,4
2021-06-24,Pfizer,24,3
2021-06-23,Pfizer,49,7
2021-06-23,Pfizer,33,7
2021-06-23,Pfizer,25,8
2021-06-23,Pfizer,62,7
2021-06-22,Pfizer,39,7
2021-06-22,Pfizer,31,6
2021-06-22,Pfizer,48,8
2021-06-20,Pfizer,39,10
2021-06-20,Pfizer,70,13
2021-06-19,Pfizer,30,5
2021-06-17,Pfizer,99,35
2021-06-17,Pfizer,35,10
2021-06-17,Pfizer,32,6
2021-06-17,Pfizer,27,8
2021-06-16,Pfizer,32,4
2021-06-15,Pfizer,27,4
2021-06-15,Pfizer,38,3
2021-06-11,Pfizer,55,12
2021-06-10,Pfizer,59,6
2021-06-10,Pfizer,129,37
2021-06-09,Pfizer,66,15
2021-06-08,Pfizer,113,65
2021-06-08,Pfizer,297,113
2021-06-07,Pfizer,50,14
2021-06-06,Pfizer,86,15
2021-06-04,Pfizer,98,13
2021-06-04,Pfizer,48,13
2021-06-04,Pfizer,46,21
2021-06-02,Pfizer,23,6
2021-06-01,Pfizer,138,27
2021-05-31,Pfizer,66,11
2021-05-28,Pfizer,30,5
2021-05-28,Pfizer,36,6
2021-05-27,Pfizer,60,13
2021-05-26,Pfizer,31,2
2021-05-26,Pfizer,22,3
2021-05-26,Pfizer,38,8
2021-05-24,Pfizer,71,18
2021-05-24,Pfizer,45,6
2021-05-24,Pfizer,29,2
2021-05-20,Pfizer,47,6
2021-05-20,Pfizer,46,7
2021-05-20,Pfizer,157,38
2021-05-20,Pfizer,52,8
2021-05-19,Pfizer,61,15
2021-05-19,Pfizer,33,7
2021-05-18,Pfizer,42,14
2021-05-18,Pfizer,20,3
2021-05-17,Pfizer,56,16
2021-05-17,Pfizer,40,7
2021-05-14,Pfizer,31,4
2021-05-14,Pfizer,57,13
2021-05-13,Pfizer,64,9
2021-05-13,Pfizer,53,15
2021-05-13,Pfizer,66,12
2021-05-12,Pfizer,487,152
2021-05-12,Pfizer,255,125
2021-05-12,Pfizer,52,10
2021-05-12,Pfizer,124,43
2021-05-12,Pfizer,32,16
2021-05-12,Pfizer,74,20
2021-05-12,Pfizer,27,9
2021-05-12,Pfizer,26,4
2021-05-12,Pfizer,40,9
2021-05-11,Pfizer,82,14
2021-05-10,Pfizer,97,30
2021-05-10,Pfizer,60,12
2021-05-10,Pfizer,33,9
2021-05-10,Pfizer,370,129
2021-05-10,Pfizer,403,105
2021-05-10,Pfizer,34,4
2021-05-07,Pfizer,99,21
2021-05-07,Pfizer,343,67
2021-05-07,Pfizer,1376,600
2021-05-07,Pfizer,772,150
2021-05-07,Pfizer,3738,1270
2021-05-06,Pfizer,43,8
2021-05-06,Pfizer,151,58
2021-05-05,Pfizer,59,13
2021-05-03,Pfizer,84,27
2021-05-03,Pfizer,49,14
2021-05-03,Pfizer,1108,207
2021-05-03,Pfizer,2699,922
2021-05-03,Pfizer,672,136
2021-05-03,Pfizer,8329,2582
2021-04-29,Pfizer,57,7
2021-04-29,Pfizer,59,16
2021-04-29,Pfizer,38,7
2021-04-28,Pfizer,83,14
2021-04-28,Pfizer,77,36
2021-04-28,Pfizer,56,24
2021-04-28,Pfizer,27,13
2021-04-28,Pfizer,41,13
2021-04-28,Pfizer,123,33
2021-04-27,Pfizer,91,26
2021-04-27,Pfizer,40,7
2021-04-27,Pfizer,62,8
2021-04-26,Pfizer,81,15
2021-04-26,Pfizer,23,4
2021-04-26,Pfizer,36,8
2021-04-26,Pfizer,56,10
2021-04-26,Pfizer,38,7
2021-04-24,Pfizer,90,19
2021-04-23,Pfizer,72,18
2021-04-22,Pfizer,48,12
2021-04-22,Pfizer,27,4
2021-04-22,Pfizer,49,8
2021-04-22,Pfizer,115,35
2021-04-21,Pfizer,56,9
2021-04-21,Pfizer,37,13
2021-04-21,Pfizer,33,4
2021-04-21,Pfizer,78,14
2021-04-19,Pfizer,81,16
2021-04-19,Pfizer,63,12
2021-04-19,Pfizer,46,7
2021-04-16,Pfizer,48,7
2021-04-16,Pfizer,1,0
2021-04-15,Pfizer,61,12
2021-04-15,Pfizer,59,13
2021-04-14,Pfizer,53,14
2021-04-14,Pfizer,64,23
2021-04-13,Pfizer,107,48
2021-04-13,Pfizer,63,15
2021-04-13,Pfizer,43,9
2021-04-13,Pfizer,966,259
2021-04-12,Pfizer,172,51
2021-04-09,Pfizer,74,16
2021-04-09,Pfizer,91,18
2021-04-09,Pfizer,303,64
2021-04-09,Pfizer,180,25
2021-04-09,Pfizer,2942,1055
2021-04-09,Pfizer,55,14
2021-04-08,Pfizer,91,20
2021-04-07,Pfizer,40,16
2021-04-05,Pfizer,102,37
2021-04-02,Pfizer,115,28
