date,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_novavax
2022-10-26T00:00:00.000,1947200,19477880,34258115,22600
2022-10-26T00:00:00.000,16200,171620,202110,0
2022-10-26T00:00:00.000,210700,2394540,4748270,28800
2022-10-26T00:00:00.000,259900,2387800,4447410,4500
2022-10-26T00:00:00.000,391500,4435900,6144775,9900
2022-10-26T00:00:00.000,500100,5607840,9713375,17700
2022-10-26T00:00:00.000,465700,4605460,7588325,16200
2022-10-26T00:00:00.000,626900,4547280,4054740,7900
2022-10-26T00:00:00.000,93200,910800,1385265,2900
2022-10-26T00:00:00.000,12800,123140,121760,0
2022-10-26T00:00:00.000,158000,1688120,2568430,5600
2022-10-26T00:00:00.000,438800,5363360,8415745,12500
2022-10-26T00:00:00.000,159900,1657480,2453110,13800
2022-10-26T00:00:00.000,1006300,9548540,16275675,28700
2022-10-26T00:00:00.000,401800,4928960,6089780,19200
2022-10-26T00:00:00.000,53600,621620,1045180,2100
2022-10-26T00:00:00.000,233100,2629060,3794055,5100
2022-10-26T00:00:00.000,2453400,20754920,33432265,39600
2022-10-26T00:00:00.000,170500,2009220,2817225,7200
2022-10-26T00:00:00.000,456100,5473700,8761745,16800
2022-10-26T00:00:00.000,950900,10197980,16199040,33000
2022-10-26T00:00:00.000,3800,30800,14290,0
2022-10-26T00:00:00.000,49200,505040,622645,2000
2022-10-26T00:00:00.000,352300,4207680,6274345,7100
2022-10-26T00:00:00.000,188400,1487840,2842660,3500
2022-10-26T00:00:00.000,464300,5290740,7058835,41900
2022-10-26T00:00:00.000,1007900,10387440,17046015,20500
2022-10-26T00:00:00.000,106300,988100,1368895,5700
2022-10-26T00:00:00.000,86000,737620,1119245,4200
2022-10-26T00:00:00.000,1180700,11867740,21424935,22000
2022-10-26T00:00:00.000,800400,8524400,14929285,22100
2022-10-26T00:00:00.000,72700,852780,1528125,2200
2022-10-26T00:00:00.000,337800,3661680,4814880,19300
2022-10-26T00:00:00.000,292700,3165020,4886335,15000
2022-10-26T00:00:00.000,151900,1691280,3107760,5200
2022-10-26T00:00:00.000,190100,2153800,3198245,5200
2022-10-26T00:00:00.000,101600,1136700,1742355,3600
2022-10-26T00:00:00.000,3700,28120,107010,200
2022-10-26T00:00:00.000,111300,1546580,1988115,6500
2022-10-26T00:00:00.000,600,25500,100710,0
2022-10-26T00:00:00.000,859700,10023100,15337955,31100
2022-10-26T00:00:00.000,614600,6804660,12713310,23000
2022-10-26T00:00:00.000,12800,73300,59980,1100
2022-10-26T00:00:00.000,509800,5642720,10228940,11000
2022-10-26T00:00:00.000,617100,6746320,10682200,13000
2022-10-26T00:00:00.000,24300,98780,234480,300
2022-10-26T00:00:00.000,73700,864920,1351870,1800
2022-10-26T00:00:00.000,962500,10454620,15221990,20900
2022-10-26T00:00:00.000,124800,1628920,2496860,3100
2022-10-26T00:00:00.000,262300,3157120,4189960,23800
2022-10-26T00:00:00.000,329400,3898580,5374070,6600
2022-10-26T00:00:00.000,3772700,39224380,66776805,113500
2022-10-26T00:00:00.000,629300,8063480,12470290,9000
2022-10-26T00:00:00.000,255500,2492660,4882890,5600
2022-10-26T00:00:00.000,216300,2908120,5163330,1500
2022-10-26T00:00:00.000,3100,45340,116120,200
2022-10-26T00:00:00.000,260600,2828240,4384475,18100
2022-10-26T00:00:00.000,627000,5792300,10342880,6300
2022-10-19T00:00:00.000,3700,27820,107010,200
2022-10-19T00:00:00.000,528600,5833340,9093090,12300
2022-10-19T00:00:00.000,1007800,10324140,16849815,20400
2022-10-19T00:00:00.000,2452400,20634220,33225765,38300
2022-10-19T00:00:00.000,24300,98780,234480,300
2022-10-19T00:00:00.000,773900,8025700,13562695,24400
2022-10-19T00:00:00.000,31353900,323571420,526976615,872300
2022-10-19T00:00:00.000,233000,2618360,3758955,5100
2022-10-19T00:00:00.000,1005900,9468940,16144675,28500
2022-10-19T00:00:00.000,111300,1535280,1944715,6500
2022-10-19T00:00:00.000,259900,2373200,4406210,4300
2022-10-19T00:00:00.000,1946200,19316880,33944115,22100
2022-10-19T00:00:00.000,53600,616820,1032680,1900
2022-10-19T00:00:00.000,188400,1475340,2803760,3400
2022-10-19T00:00:00.000,337000,3634380,4768080,19300
2022-10-19T00:00:00.000,262300,3141620,4150860,23800
2022-10-19T00:00:00.000,159800,1640880,2424810,13700
